ABpraappaa (hyp4);ABplaappaa (hyp4);0.4,ABpraappap (hyp6);ABplaappap (hyp6);0.5,ABpraapppa (hyp7);ABplpappaap (exc_cell);0.55,ABpraapppp (hyp7);ABarappappa (DB2);0.8,ABprapaapp (P1/2R);ABprpaaaapp (DB3);0.8,ABprappaaa (P3/4R);ABprppapapa (DA3);0.8,ABprappapp (P7/8R);ABprppapapp (DA5);0.8,ABprapapap (P9/10R);ABprpppaaap (DA7);0.8,ABprapappa (P12);ABprappppa (hyp7);0.5,ABprappppa (hyp7)
ABpraappaa (hyp4),ABpraapppa (hyp7);ABplpappaap (exc_cell);0.01,ABpraapppa (hyp7),ABpraapppp (hyp7),ABprapaapp (P1/2R),ABprappaaa (P3/4R),ABprappapp (P7/8R),ABprapapap (P9/10R),ABprapappa (P12);ABprpppaaap (DA7);0.01,ABprappppa (hyp7);ABplpppapap (hyp8/9);0.01
ABarpappap (hyp5),ABprpaappap (RIBR),,,,,,,,
ABarpapppa (H0R),ABarpapppp (H1R),ABarpppaap (H2R),ABarppppaa (V1R),ABarppppap (V2R),ABprappapa (V3R),ABarpppppa (V4R),ABprapapaa,ABarpppppp (V6R),ABprappppp (TR);ABplpppapap (hyp8/9);0.95
ABarpapapa (hyp4),ABarpapapp (hyp6),ABarpaappp (hyp7),Caaaaa (hyp7),Caaaap (hyp7),Caaapa (hyp7),Caaapp (hyp7),Cpapaa (hyp7),Caappd (hyp7),ABprppppppp (hyp10);ABplpppapap (hyp8/9);0.95
ABplaaaapa (hyp6),ABplaaaapp (hyp6),ABarpaappa (hyp7),Cpaaaa (hyp7),Cpaaap (hyp7),Cpaapa (hyp7),Cpaapp (hyp7),Cpappd (hyp7),Cpappv (hyp11),ABplppppppp (hyp10);ABplpppapap (hyp8/9);0.95
ABplaaappa (H0L),ABplaaappp (H1L),ABarppaaap (H2L),ABarppapaa (V1L),ABarppapap (V2L),ABplappapa (V3L),ABarppappa (V4L),ABplapapaa,ABarppappp (V6L),ABplappppp (TL);ABplpppapap (hyp8/9);0.95
ABplaaapap (hyp5),ABplpaappap (RIBL),,,,,,,,
ABplaappaa (hyp4),ABplaapppa (hyp7);ABplpappaap (exc_cell);0.01,ABplaapppa (hyp7),ABplaapppp (hyp7),ABplapaapp (P1/2L),ABplappaaa (P3/4L),ABplappaap (P5/6L),ABplappapp (P7/8L),ABplapappa (P11);ABplpppaaap (DA6);0.01,ABplappppa (hyp7);ABplpppapap (hyp8/9);0.1
ABplaappaa (hyp4);ABpraappaa (hyp4);0.4,ABplaappap (hyp6);ABpraappap (hyp6);0.1,ABplaapppa (hyp7);ABplpappaap (exc_cell);0.8,ABplaapppp (hyp7);ABplpaaaapp (DB1);0.8,ABplapaapp (P1/2L);ABplpaaaapp (DB1);0.8,ABplappaaa (P3/4L);ABplppapapa (DA2);0.9,ABplappaap (P5/6L);ABplppapapp (DA4);0.8,ABplappapp (P7/8L);ABplpppaaap (DA6);0.8,ABplapappa (P11);ABplappppa (hyp7);0.5,ABplappppa (hyp7)
